frm_class;frm_snr;frm_nobs;depth_from;depth_to;tsw;variable;network;station;instrument;tsw;lon;lat;idx
representative;0.18626638;8606;0.05;0.05;bulk;soil_moisture;ARM;Larned;Water-Matric-Potential-Sensor-229L-E;bulk;-99.316;38.202;115
representative;0.14697866;9624;0.05;0.05;bulk;soil_moisture;ARM;Larned;Water-Matric-Potential-Sensor-229L-W;bulk;-99.316;38.202;116
representative;1.454306;8689;0.05;0.05;bulk;soil_moisture;ARM;LeRoy;Water-Matric-Potential-Sensor-229L-E;bulk;-95.597;38.201;117
representative;2.536845;8719;0.05;0.05;bulk;soil_moisture;ARM;LeRoy;Water-Matric-Potential-Sensor-229L-W;bulk;-95.597;38.201;118
representative;1.5973179;5555;0.05;0.05;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-E;bulk;-97.7606;37.0694;119
not representative;-0.17721649;5569;0.05;0.05;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-S;bulk;-97.7606;37.0694;120
representative;0.48351443;5724;0.05;0.05;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-W;bulk;-97.7606;37.0694;121
not representative;-9.977289;1864;0.1;0.1;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-E;bulk;-97.7606;37.0694;122
undeducible;-13.889806;3167;0.1;0.1;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-S;bulk;-97.7606;37.0694;123
undeducible;-23.816671;3072;0.1;0.1;bulk;soil_moisture;ARM;MapleCity;Hydraprobe-II-Sdi-12-W;bulk;-97.7606;37.0694;124
very representative;6.336706;6253;0.05;0.05;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-E;bulk;-97.5112;36.1166;125
very representative;5.6068854;6195;0.05;0.05;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-S;bulk;-97.5112;36.1166;126
very representative;4.8842225;6261;0.05;0.05;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-W;bulk;-97.5112;36.1166;127
not representative;-7.7985415;5802;0.1;0.1;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-E;bulk;-97.5112;36.1166;128
not representative;-8.597886;6015;0.1;0.1;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-S;bulk;-97.5112;36.1166;129
not representative;-8.216393;5631;0.1;0.1;bulk;soil_moisture;ARM;Marshall;Hydraprobe-II-Sdi-12-W;bulk;-97.5112;36.1166;130
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Medford;SMP1-A;bulk;-97.8199;36.819;131
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Medford;SMP1-B;bulk;-97.8199;36.819;132
undeducible;;0;0.025;0.025;bulk;soil_moisture;ARM;Medford;SMP1-C;bulk;-97.8199;36.819;133
representative;1.5446687;7042;0.05;0.05;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-E;bulk;-97.8199;36.819;134
representative;2.5475314;7012;0.05;0.05;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-S;bulk;-97.8199;36.819;135
representative;2.0217936;6949;0.05;0.05;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-W;bulk;-97.8199;36.819;136
undeducible;-17.460806;3409;0.1;0.1;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-E;bulk;-97.8199;36.819;137
not representative;-5.6858563;2542;0.1;0.1;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-S;bulk;-97.8199;36.819;138
undeducible;-24.666893;5107;0.1;0.1;bulk;soil_moisture;ARM;Medford;Hydraprobe-II-Sdi-12-W;bulk;-97.8199;36.819;139
